	shannon_entropy
C1	7.161642168831829
C10	6.97395644948088
C11	6.965401805563596
C12	6.676073972606892
C13	7.197406687835856
C14	6.869307541179067
C15	6.217548215460818
C2	6.570927859811835
C3	6.513203981418318
C4	6.402037312954041
C5	6.732601842739288
C6	6.587807754430188
C7	6.913483825846423
C8	6.949572001467464
C9	6.811732880824293
I1	6.739373193325338
I10	5.564535796428278
I11	6.661321928985192
I12	6.22242258563905
I13	6.672222650065145
I14	6.020829702372478
I2	6.662516470839473
I3	6.496777115165147
I4	6.823428888343655
I5	6.342452541796131
I6	6.7477938642779245
I7	6.742566515381815
I8	6.982116442380143
I9	6.494282450195776
